CLAUDE,145,1197,6,0.1010538473
WALLACE,146,1172,7,0.09894328237
MANUEL,147,1171,6,0.09885885977
JOSE,148,1169,4,0.09869001458
MARK,149,1165,4,0.0983523242
SAM,150,1146,3,0.09674829487
WILLARD,151,1139,7,0.0961573367
WESLEY,152,1128,6,0.09522868815
LONNIE,153,1102,6,0.09303370066
NICHOLAS,154,1101,8,0.09294927806
DAN,155,1097,3,0.09261158768
NEIL,156,1067,4,0.0900789098
HUGH,157,1060,4,0.08948795163
MARION,158,1049,6,0.08855930307
TED,159,1047,3,0.08839045788
LYNN,160,1045,4,0.08822161269
MAURICE,161,1031,7,0.08703969635
JESSIE,162,1020,6,0.08611104779
BRIAN,163,1009,5,0.08518239924
EDGAR,164,984,5,0.08307183434
MAX,165,951,3,0.08028588868
VIRGIL,166,938,6,0.07918839493
OSCAR,167,936,5,0.07901954974
SIDNEY,168,928,6,0.07834416897
EVERETT,169,926,7,0.07817532378
MORRIS,170,912,6,0.07699340744
DICK,171,911,4,0.07690898484
LOWELL,172,870,6,0.07344765841
LYLE,173,865,4,0.07302554543
KARL,174,855,4,0.07218131947
BENNIE,175,845,6,0.07133709352
NATHANIEL,176,834,9,0.07040844496
LUTHER,177,825,6,0.0696486416
BEN,178,815,3,0.06880441564
BENNY,179,814,5,0.06871999304
DELBERT,180,813,7,0.06863557045
MARSHALL,181,809,8,0.06829788006
NELSON,182,806,6,0.06804461228
JEFFREY,183,799,7,0.06745365411
EARNEST,184,796,7,0.06720038632
HOMER,185,774,5,0.06534308921
DAVE,186,769,4,0.06492097623
HUBERT,187,761,6,0.06424559546
ALEXANDER,188,760,9,0.06416117287
GREGORY,189,756,7,0.06382348248
CARROLL,190,755,7,0.06373905989
FREDRICK,191,742,8,0.06264156614
GUY,192,716,3,0.06044657865
WILBUR,193,705,6,0.05951793009
ALTON,194,692,5,0.05842043635
STUART,195,680,6,0.0574073652
JUAN,196,677,4,0.05715409741
DONNIE,197,675,6,0.05698525222
MATTHEW,198,664,7,0.05605660366
OTIS,199,662,4,0.05588775847
HORACE,200,661,6,0.05580333587
CARLOS,201,657,6,0.05546564549
CLIFTON,202,642,7,0.05419930655
ROOSEVELT,203,635,9,0.05360834838
CLINTON,204,632,7,0.05335508059
IRA,205,625,3,0.05276412242
RUDOLPH,206,623,7,0.05259527723
DOYLE,207,620,5,0.05234200944
ALEX,208,619,4,0.05225758685
LELAND,209,609,6,0.05141336089
WILLIS,210,608,6,0.05132893829
LAURENCE,211,604,8,0.05099124791
CLAYTON,212,603,7,0.05090682531
ARCHIE,213,601,6,0.05073798012
LOREN,214,586,5,0.04947164118
OLIVER,215,582,6,0.0491339508
KENT,216,578,4,0.04879626042
TROY,217,577,4,0.04871183782
SAMMY,217,577,5,0.04871183782
JULIUS,219,567,6,0.04786761186
MYRON,220,566,5,0.04778318927
WILBERT,220,566,7,0.04778318927
GARRY,222,557,5,0.0470233859
TOMMIE,222,557,6,0.0470233859
PERRY,224,553,5,0.04668569552
GERARD,224,553,6,0.04668569552
BYRON,226,548,5,0.04626358254
MALCOLM,226,548,7,0.04626358254
REX,228,547,3,0.04617915994
DEWEY,229,542,5,0.04575704697
IVAN,230,541,4,0.04567262437
SALVATORE,231,533,9,0.0449972436
SHERMAN,232,532,7,0.04491282101
RANDALL,233,531,7,0.04482839841
AARON,234,514,5,0.04339321428
JACOB,234,514,5,0.04339321428
